5	2	1	0	0	0
10	3	2	1	0	0
15	4	2	1	0	0
20	5	3	2	1	0
25	6	3	2	1	0
30	7	4	2	1	0
35	8	4	3	1	0
40	9	5	3	2	0
45	10	6	4	2	0
50	11	7	4	2	0
55	12	7	4	2	0
60	13	8	5	2	0
65	14	9	5	3	0
70	15	10	5	3	0
75	16	11	6	3	0
80	17	12	6	3	0
85	18	12	7	3	0
90	19	13	7	3	0
95	20	13	8	4	0
100	21	14	8	4	0
105	22	15	8	4	0
110	23	16	9	4	0
115	24	16	9	4	0
120	25	17	9	4	0
125	26	17	9	5	0
130	27	18	9	5	0
135	28	19	10	5	0
140	29	20	10	5	0
145	30	20	11	5	0
150	31	21	11	5	0
155	32	21	12	6	0
160	33	22	12	6	0
165	34	23	12	6	0
170	35	24	13	6	0
175	36	24	13	6	0
180	37	25	13	6	0
185	38	25	13	7	0
190	39	26	13	7	0
195	40	27	14	7	0
200	41	28	14	7	0
205	42	28	15	7	0
210	43	29	15	7	0
215	44	29	16	8	0
220	45	30	16	8	0
225	46	31	16	8	0
230	47	32	17	8	0
235	48	32	17	8	0
240	49	33	17	8	0
